ERR4182395,PRJEB38388,OXFORD_NANOPORE,GridION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4164959,PRJEB38388,OXFORD_NANOPORE,GridION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4145418,PRJEB37966,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4080780,PRJEB37966,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4080528,PRJEB37966,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11607653,PRJNA614995,ILLUMINA,Illumina MiSeq,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11578320,PRJNA613958,ILLUMINA,NextSeq 550,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11578069,PRJNA613958,ILLUMINA,NextSeq 500,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11573916,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11573917,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11573918,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11573919,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11494750,PRJNA613958,ILLUMINA,NextSeq 550,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11040129,PRJNA605247,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039486,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039487,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039488,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039489,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039490,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039491,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039492,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
ERR3179340,PRJEB6505,ILLUMINA,Illumina HiSeq 2500,1070528,viral metagenome
ERR2214807,PRJEB23810,ILLUMINA,Illumina HiSeq 2500,9031,Gallus gallus
ERR2214808,PRJEB23810,ILLUMINA,Illumina HiSeq 2500,9031,Gallus gallus
ERR1430427,PRJEB14155,ILLUMINA,Illumina HiSeq 2500,256318,metagenome
SRR057823,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057824,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057825,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057826,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057827,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057828,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057829,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057830,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057831,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057832,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
SRR057833,PRJNA46335,ILLUMINA,Illumina Genome Analyzer II,646099,human metagenome
ERR1302945,PRJEB6505,ILLUMINA,Illumina HiSeq 2500,1070528,viral metagenome
SRR1030143,PRJNA227801,ILLUMINA,Illumina Genome Analyzer IIx,10090,Mus musculus
SRR1030144,PRJNA227801,ILLUMINA,Illumina Genome Analyzer IIx,10090,Mus musculus
SRR12045889,PRJNA614995,ILLUMINA,Illumina MiSeq,2697049,Severe acute respiratory syndrome coronavirus 2
SRR12017055,PRJNA625551,ILLUMINA,Illumina MiSeq,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11954052,PRJNA622837,ILLUMINA,Illumina NovaSeq 6000,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11953795,PRJNA622837,ILLUMINA,Illumina NovaSeq 6000,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11939968,PRJNA610428,ILLUMINA,NextSeq 500,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11924420,PRJNA637303,ILLUMINA,Illumina NovaSeq 6000,9606,Homo sapiens
SRR11915820,PRJNA613958,ILLUMINA,NextSeq 550,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11851943,PRJNA614995,ILLUMINA,Illumina MiSeq,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11826966,PRJNA633948,ILLUMINA,Illumina iSeq 100,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11810736,PRJNA625669,ION_TORRENT,Ion Torrent S5,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11783595,PRJNA632475,ILLUMINA,NextSeq 550,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11741536,PRJNA631260,ILLUMINA,Illumina HiSeq 4000,10090,Mus musculus
SRR11648014,PRJNA614976,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11622222,PRJNA613958,ILLUMINA,NextSeq 500,2697049,Severe acute respiratory syndrome coronavirus 2
SRR8139285,PRJNA498915,ILLUMINA,Illumina HiSeq 2500,52904,Scophthalmus maximus
SRR6893877,PRJNA445599,ILLUMINA,Illumina HiSeq 4000,98310,Sinonovacula constricta
SRR1195589,PRJNA233944,ILLUMINA,Illumina HiSeq 2000,9534,Cercopithecus aethiops 
SRR1190369,PRJNA233943,ILLUMINA,Illumina HiSeq 2500,9606,Homo sapiens
SRR1168904,PRJNA238265,ILLUMINA,Illumina MiSeq,9483,Callithrix jacchus
ERR4182396,PRJEB38388,OXFORD_NANOPORE,GridION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4164960,PRJEB38388,OXFORD_NANOPORE,GridION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4145419,PRJEB37966,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4080781,PRJEB37966,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
ERR4080530,PRJEB37966,OXFORD_NANOPORE,MinION,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11578070,PRJNA613958,ILLUMINA,NextSeq 500,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11573920,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11573921,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11573922,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11573923,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11549941,PRJNA625518,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11412223,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11412224,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11412225,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11412226,PRJNA615032,ILLUMINA,NextSeq 500,9606,Homo sapiens
SRR11494751,PRJNA613958,ILLUMINA,NextSeq 550,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11494500,PRJNA613958,ILLUMINA,NextSeq 550,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11039486,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039487,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039488,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039489,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039490,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039491,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR11039492,PRJNA605205,ILLUMINA,Illumina HiSeq 2000,10090,Mus musculus
SRR10083350,PRJNA564421,ILLUMINA,Illumina HiSeq 4000,51298,Myotis myotis
ERR3179341,PRJEB6505,ILLUMINA,Illumina HiSeq 2500,1070528,viral metagenome
SRR8631581,PRJNA488988,ILLUMINA,Illumina HiSeq 4000,586722,Paulownia fortunei
SRR8391572,PRJNA510571,ILLUMINA,Illumina HiSeq 2000,1211417,uncultured crAssphage
ERR2214807,PRJEB23810,ILLUMINA,Illumina HiSeq 2500,9031,Gallus gallus
ERR2214808,PRJEB23810,ILLUMINA,Illumina HiSeq 2500,9031,Gallus gallus
ERR1302946,PRJEB6505,ILLUMINA,Illumina HiSeq 2500,1070528,viral metagenome
ERR878269,PRJEB9357,ILLUMINA,Illumina HiSeq 2000,9685,Felis catus
SRR12045890,PRJNA614995,ILLUMINA,Illumina MiSeq,2697049,Severe acute respiratory syndrome coronavirus 2
SRR12017056,PRJNA625551,ILLUMINA,Illumina MiSeq,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11954053,PRJNA622837,ILLUMINA,Illumina NovaSeq 6000,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11939969,PRJNA610428,ILLUMINA,NextSeq 500,2697049,Severe acute respiratory syndrome coronavirus 2
SRR11924421,PRJNA637303,ILLUMINA,Illumina NovaSeq 6000,9606,Homo sapiens
SRR11915821,PRJNA613958,ILLUMINA,Illumina iSeq 100,2697049,Severe acute respiratory syndrome coronavirus 2
