AC_000192/G	AC_000192/G	NC_012936/G
ERR298307/A	MK334045/G	NC_005831/G
SRR8244388/A	SRR6788790/A	SRR6788790/A
SRR6788790/A	SRR6788790/A	SRR6788790/A
SRR6788791/A	SRR6788790/A	SRR6788790/A
SRR12003636/A	NC_045512/G	NC_004718/G
LC063844/G	NC_003436/G	NC_003436/G
LC063845/G	NC_003436/G	NC_003436/G
LC063846/G	NC_003436/G	NC_003436/G
SRR11476465/A	NC_045512/G	NC_004718/G
SRR11476463/A	NC_045512/G	NC_004718/G
SRR9643845/A	SRR9643845/A	SRR9643845/A
MH052688/G	NC_003436/G	NC_003436/G
SRR11278090/A	NC_045512/G	NC_004718/G
SRR11278091/A	NC_045512/G	NC_004718/G
SRR11278092/A	NC_045512/G	NC_004718/G
MH052682/G	NC_003436/G	NC_003436/G
MK032180/G	HM245924/G	HM245924/G
MK032181/G	KX252777/G	NC_001451/G
SRR7875374/A	NC_003436/G	NC_003436/G
SRR11858001/A	NC_045512/G	NC_004718/G
ERR2737675/A	MH687945/G	NC_009657/G
KX580953/G	KX580953/G	NC_003436/G
MG772808/G	MK334045/G	NC_005831/G
MN306053/G	NC_006213/G	NC_006213/G
SRR12017035/A	NC_045512/G	NC_004718/G
ERR1399348/A	MK334045/G	NC_005831/G
KX443143/G	NC_039208/G	NC_039208/G
SRR9426223/A	KF530117/G	NC_002306/G
SRR11517432/A	NC_045512/G	NC_004718/G
SRR1942984/A	NC_019843/G	NC_019843/G
SRR7963145/A	KY369909/G	NC_028752/G
MK472068/G	MK472069/G	MK472069/G
SRR9426792/A	NC_003045/G	NC_003045/G
KX361343/G	NC_039208/G	NC_039208/G
SRR12045770/A	NC_045512/G	NC_004718/G
SRR12045779/A	NC_045512/G	NC_004718/G
SRR11954086/A	NC_045512/G	NC_004718/G
ERR2649625/A	MH687969/G	NC_026011/G
SRR11577968/A	NC_045512/G	NC_004718/G
SRR11577960/A	NC_045512/G	NC_004718/G
SRR11577961/A	NC_045512/G	NC_004718/G
SRR11577962/A	NC_045512/G	NC_004718/G
SRR12017039/A	NC_045512/G	NC_004718/G
SRR9433383/A	NC_003045/G	NC_003045/G
SRR9433387/A	NC_003045/G	NC_003045/G
SRR9433385/A	NC_003045/G	NC_003045/G
SRR9433384/A	NC_003045/G	NC_003045/G
MN249445/G	NC_039208/G	NC_039208/G
SRR11578377/A	NC_045512/G	NC_004718/G
SRR11578372/A	NC_045512/G	NC_004718/G
ERR3013341/A	NC_003436/G	NC_003436/G
ERR3013340/A	NC_003436/G	NC_003436/G
ERR3013343/A	NC_003436/G	NC_003436/G
ERR3013342/A	NC_003436/G	NC_003436/G
ERR3013345/A	NC_003436/G	NC_003436/G
ERR3013344/A	NC_003436/G	NC_003436/G
KU558923/G	NC_003045/G	NC_003045/G
ERR3013346/A	NC_003436/G	NC_003436/G
KP780179/G	JQ977697/G	NC_001451/G
MH687969/G	MH687969/G	NC_026011/G
SRR6713825/A	NC_003436/G	NC_003436/G
KF530129/G	KF530117/G	NC_002306/G
KF530124/G	KF530124/G	NC_002306/G
SRR6713822/A	NC_003436/G	NC_003436/G
KF530126/G	KF530131/G	NC_002306/G
KF530127/G	KF530127/G	NC_002306/G
SRR12045976/A	NC_045512/G	NC_004718/G
MK071636/G	NC_003436/G	NC_003436/G
KF530122/G	GU553362/G	NC_002306/G
KF530123/G	KF530131/G	NC_002306/G
KX275393/G	KX252777/G	NC_001451/G
SRR11826887/A	NC_045512/G	NC_004718/G
SRR11826884/A	NC_045512/G	NC_004718/G
SRR11563841/A	NC_045512/G	NC_004718/G
SRR11563846/A	NC_045512/G	NC_004718/G
SRR6713820/A	NC_003436/G	NC_003436/G
SRR11826880/A	NC_045512/G	NC_004718/G
KX275394/G	KX252777/G	NC_001451/G
KJ473795/G	NC_010437/G	NC_010437/G
SRR11563849/A	NC_045512/G	NC_004718/G
SRR11826888/A	NC_045512/G	NC_004718/G
SRR11826889/A	NC_045512/G	NC_004718/G
MH687942/G	NC_009657/G	NC_009657/G
SRR6893877/A	NC_039208/G	NC_039208/G
SRR12017052/A	NC_045512/G	NC_004718/G
SRR12017053/A	NC_045512/G	NC_004718/G
SRR12017050/A	NC_045512/G	NC_004718/G
SRR12017056/A	NC_045512/G	NC_004718/G
SRR12017057/A	NC_045512/G	NC_004718/G
SRR12017054/A	NC_045512/G	NC_004718/G
SRR12017055/A	NC_045512/G	NC_004718/G
SRR9967741/A	MK334045/G	NC_005831/G
JQ989271/G	NC_018871/G	NC_018871/G
SRR11846864/A	NC_045512/G	NC_004718/G
SRR12017059/A	NC_045512/G	NC_004718/G
SRR10357368/A	NC_019843/G	NC_019843/G
FJ647223/G	NC_012936/G	NC_012936/G
KF569996/G	NC_004718/G	NC_004718/G
ERR3460958/A	NC_002645/G	NC_028752/G
SRR6713849/A	NC_003436/G	NC_003436/G
ERR1303015/A	MH687947/G	MH687947/G
SRR6713844/A	NC_003436/G	NC_003436/G
SRR6713845/A	NC_003436/G	NC_003436/G
SRR6713846/A	NC_003436/G	NC_003436/G
ERR575840/A	NC_019843/G	NC_019843/G
SRR6713841/A	NC_003436/G	NC_003436/G
NC_046964/G	NC_046964/G	NC_046964/G
SRR9425850/A	KU215422/G	NC_002306/G
SRR1194940/A	NC_004718/G	NC_004718/G
SRR11954068/A	NC_045512/G	NC_004718/G
SRR5447139/A	MH687969/G	NC_026011/G
NC_023760/G	NC_023760/G	NC_023760/G
KJ135013/G	KJ135013/G	KC008600/G
SRR11092057/A	NC_045512/G	NC_004718/G
MN025305/G	MN025305/G	KT254279/G
SRR11578110/A	NC_045512/G	NC_004718/G
SRR11965933/A	NC_045512/G	NC_004718/G
SRR11915799/A	NC_045512/G	NC_004718/G
SRR11578113/A	NC_045512/G	NC_004718/G
SRR11953986/A	NC_045512/G	NC_004718/G
MF737355/G	NC_003436/G	NC_003436/G
SRR11915793/A	NC_045512/G	NC_004718/G
SRR11578119/A	NC_045512/G	NC_004718/G
SRR11092059/A	NC_045512/G	NC_004718/G
SRR11494586/A	NC_045512/G	NC_004718/G
SRR11494587/A	NC_045512/G	NC_004718/G
SRR11494584/A	NC_045512/G	NC_004718/G
SRR11494585/A	NC_045512/G	NC_004718/G
SRR11494582/A	NC_045512/G	NC_004718/G
SRR11494580/A	NC_045512/G	NC_004718/G
SRR5871873/A	NC_006213/G	NC_006213/G
SRR7825137/A	NC_003436/G	NC_003436/G
DQ288927/G	DQ288927/G	KT886454/G
KX364299/G	HM245924/G	HM245924/G
SRR7287110/A	KF530131/G	NC_002306/G
SRR11494740/A	NC_045512/G	NC_004718/G
SRR11494742/A	NC_045512/G	NC_004718/G
SRR11494743/A	NC_045512/G	NC_004718/G
SRR11494744/A	NC_045512/G	NC_004718/G
NC_035191/G	NC_035191/G	NC_035191/G
SRR11494749/A	NC_045512/G	NC_004718/G
SRR11772213/A	NC_045512/G	NC_004718/G
SRR11772212/A	NC_045512/G	NC_004718/G
SRR11772211/A	NC_045512/G	NC_004718/G
SRR11772210/A	NC_045512/G	NC_004718/G
SRR11772217/A	NC_045512/G	NC_004718/G
SRR11772216/A	NC_045512/G	NC_004718/G
SRR11772215/A	NC_045512/G	NC_004718/G
SRR11772214/A	NC_045512/G	NC_004718/G
SRR11954084/A	NC_045512/G	NC_004718/G
SRR11826861/A	NC_045512/G	NC_004718/G
SRR11772219/A	NC_045512/G	NC_004718/G
SRR11772218/A	NC_045512/G	NC_004718/G
SRR11826864/A	NC_045512/G	NC_004718/G
SRR11826865/A	NC_045512/G	NC_004718/G
SRR11826866/A	NC_045512/G	NC_004718/G
SRR11826867/A	NC_045512/G	NC_004718/G
ERR1301899/A	NC_009657/G	NC_009657/G
KX364293/G	KF280267/G	HM245924/G
SRR8335008/A	KF280267/G	HM245924/G
SRR7623977/A	NC_039208/G	NC_039208/G
SRR7623978/A	NC_039208/G	NC_039208/G
KX364290/G	HM245924/G	HM245924/G
SRR11780108/A	NC_045512/G	NC_004718/G
SRR11780109/A	NC_045512/G	NC_004718/G
SRR11780106/A	NC_045512/G	NC_004718/G
SRR11780107/A	NC_045512/G	NC_004718/G
SRR11780104/A	NC_045512/G	NC_004718/G
SRR11780105/A	NC_045512/G	NC_004718/G
SRR11780102/A	NC_045512/G	NC_004718/G
SRR11780101/A	NC_045512/G	NC_004718/G
SRR8335009/A	KF280267/G	HM245924/G
KY967357/G	KY369909/G	NC_028752/G
SRR11953776/A	NC_045512/G	NC_004718/G
SRR1942952/A	NC_004718/G	NC_004718/G
SRR1942954/A	NC_004718/G	NC_004718/G
