DRR017219,2147,1,D,,,*,0.0,*,0.0,*,0.0,ILLUMINA
DRR019508,2658,1,D,,,*,0.0,*,0.0,*,0.0,ILLUMINA
DRR019510,442,1,D,,,*,0.0,*,0.0,*,0.0,ILLUMINA
DRR040619,1735,2,D,,,*,0.0,*,0.0,*,0.0,ILLUMINA
DRR067829,407,1,D,,,NC_010800.1,92.1,KC506155.1,93.1,KR265092.1,93.1,?
DRR067832,1349,3,D,,,NC_001451.1,96.1,MK937828.1,98.1,M21515.1,96.5,?
DRR100745,214,1,D,,,*,0.0,*,0.0,*,0.0,?
DRR220586,56138,5,B,11120,,NC_001451.1,90.1,FJ904719.1,94.6,MN548285.1,90.8,?
DRR220587,51858,9,B,694014,,NC_001451.1,90.4,GQ504720.1,94.9,MK618758.1,91.2,?
DRR220588,28490,3,B,694014,,NC_001451.1,90.3,GQ504720.1,94.8,MN548285.1,91.6,?
DRR220589,42640,4,B,694014,,NC_001451.1,90.4,FJ904719.1,94.5,MN548285.1,91.1,?
DRR220590,121384,10,B,694014,,NC_001451.1,90.5,FJ904719.1,94.7,MK618758.1,91.3,?
DRR220591,111953,9,B,11120,,NC_001451.1,90.2,FJ904719.1,94.6,MN548285.1,91.1,?
DRR220592,82460,9,B,694014,,NC_001451.1,90.5,FJ904719.1,95.3,MN548285.1,91.3,?
DRR220593,34142,6,B,694014,,NC_001451.1,91.5,GU393331.1,96.3,MN548285.1,91.4,?
DRR220594,57616,9,B,694014,,NC_001451.1,90.5,FJ904719.1,94.6,MK618758.1,91.3,?
DRR220595,65372,6,B,694014,,NC_001451.1,90.1,FJ904719.1,95.0,MN548285.1,90.9,?
DRR220596,95561,14,B,694014,,NC_001451.1,90.1,GU393331.1,94.8,MN548285.1,91.7,?
DRR220597,35587,6,B,694014,,NC_010800.1,94.7,GU393331.1,98.3,MN548285.1,94.7,?
ERR024103,1011,1,D,,,NC_002306.3,94.6,KP849472.1,98.7,EU856361.1,97.7,?
ERR1078384,226,1,D,,,*,0.0,*,0.0,*,0.0,ILLUMINA
ERR1091908,15860,3,C,694009,,NC_004718.3,99.7,MT308984.1,99.7,AH013708.2,99.7,?
ERR1091909,437,1,D,,,NC_004718.3,99.3,AY395002.1,99.3,DI195813.1,99.3,?
ERR1091910,23771,4,C,694009,,NC_004718.3,99.6,NC_004718.3,99.6,AH013709.2,98.3,?
ERR1091911,2758,2,D,694009,,NC_004718.3,99.2,AY772062.1,99.2,AH013709.2,69.2,?
ERR1091914,10300,3,C,694009,,NC_004718.3,99.9,NC_004718.3,99.9,AH013709.2,96.8,?
ERR1091916,1197,3,D,,,NC_004718.3,100.0,NC_004718.3,100.0,DI195813.1,100.0,?
ERR1190990,1800,1,D,11138,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.6,?
ERR1190993,1317,1,D,11138,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.5,ILLUMINA
ERR1190995,17464,3,C,11138,,NC_001846.1,99.9,NC_001846.1,99.9,MF416379.1,86.7,ILLUMINA
ERR1190996,31356,2,B,11138,,NC_001846.1,99.9,FJ647221.1,99.9,MF416379.1,94.2,ILLUMINA
ERR1191002,2660,3,D,11138,,NC_001846.1,100.0,MF618252.1,100.0,X00509.1,99.7,?
ERR1191003,475,1,D,694005,,NC_001846.1,99.6,MF618252.1,99.8,X00509.1,99.8,?
ERR1191008,2491,2,D,11138,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.6,?
ERR1191009,2428,2,D,11138,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.6,?
ERR1191011,2179,2,D,11138,,NC_001846.1,100.0,MF618252.1,100.0,X00509.1,99.7,?
ERR1191014,1509,3,D,,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.4,ILLUMINA
ERR1191015,31315,1,A,11138,,NC_001846.1,99.9,NC_001846.1,99.9,MF416379.1,92.2,ILLUMINA
ERR1191016,31323,1,A,11138,,NC_001846.1,99.9,NC_001846.1,99.9,MF416379.1,92.2,ILLUMINA
ERR1191021,1073,2,D,,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.4,ILLUMINA
ERR1191022,2552,2,D,11138,,NC_001846.1,100.0,NC_001846.1,100.0,X00509.1,99.6,?
ERR1191023,6951,4,C,11138,,NC_001846.1,99.9,NC_001846.1,99.9,AY497330.1,97.8,?
ERR1191028,1008,1,D,694005,,NC_001846.1,100.0,MF618252.1,100.0,X00509.1,99.8,?
ERR1198922,469,2,D,,,NC_006213.1,96.4,NC_003045.1,98.4,KF169911.1,99.2,ILLUMINA
ERR1298522,15622,1,C,11120,,NC_001451.1,89.5,KP118887.1,99.6,MN548285.1,92.8,ILLUMINA
ERR1298523,22497,3,C,11120,,NC_001451.1,88.7,KP118887.1,99.5,MN548285.1,92.6,ILLUMINA
ERR1298524,21878,1,C,11120,,NC_001451.1,89.8,KP118893.1,99.6,MN548285.1,92.1,ILLUMINA
ERR1298525,23489,3,C,11120,,NC_001451.1,88.0,KP118885.1,99.5,MN548285.1,92.6,ILLUMINA
ERR1298526,23965,1,C,11120,,NC_001451.1,89.5,KP118887.1,99.6,MN548285.1,91.6,ILLUMINA
ERR1298527,21143,1,C,11120,,NC_001451.1,89.9,KP118887.1,99.6,MN548285.1,92.2,ILLUMINA
ERR1298528,23966,1,C,11120,,NC_001451.1,89.5,KP118887.1,99.6,MN548285.1,91.6,ILLUMINA
